"Region","N","Vulnerability_Mean","Vulnerability_SD","Charity_Agency_Mean","Charity_Agency_SD","Beneficiary_Passivity_Mean","Charity_Proximity_Mean"
"Global North",34,0.82,1.45,10.18,13.71,0.32,8.76
"Global South",47,2.02,2.08,22.81,17.11,1.57,17.87
