"","struct_vuln_hits","pers_vuln_hits","donor_agency_hits","charity_agency_hits"
"struct_vuln_hits",1,0.517713244023048,0.588250798995583,0.522800625803979
"pers_vuln_hits",0.517713244023048,1,0.332529837114634,0.517898744634156
"donor_agency_hits",0.588250798995583,0.332529837114634,1,0.788630154212388
"charity_agency_hits",0.522800625803979,0.517898744634156,0.788630154212388,1
